Rank,Name,Position,Age,Height,Weight,College,TLDR,FB,FBf,2nd,2ndf,3rd,3rdf,4th,4thf,5th,5thf,Commandp,Commandf,Velos,Contact,Contactf,G Power,G Powerf,R Power,R Powerf,Speed,Speedf,Field,Fieldf,Arm,FV,DS,DV,ETA,Slot,Drafted/College,Bonus_pred
204,Ben Watson,LF,23.3,5'11,185,Virginia Tech,"Impatient hitter with great bat-to-ball skills. Wirey frame, yet still does not move well, likely pushing him to LF.",,,,,,,,,,,,,,25,50,25,40,40,45,45,40,35,45,45,30,40.99,,2028,,Virginia Tech,"$262,315"
27,Dylan Dreiling,LF,21.3,5'11,195,Tennessee,Breakout OFer with a near-complete offensive toolset. Athletically confined to LF based on arm grades and fringe speed.,,,,,,,,,,,,,,35,55,30,55,55,55,45,40,35,50,35,45,52.90,,2027,,Tennessee,"$1,732,030"
55,Kavares Tears,RF,21.8,6'2,200,Tennessee,Similar offensive package to Chase Davis from last cycle. Plays CF for Tennessee but will likely move to a corner in the Pros based on his fringe speed and arm.,,,,,,,,,,,,,,25,40,30,55,60,65,45,40,35,50,50,40,49.87,,2027,,Tennessee,"$857,396"
113,Austin Overn,CF,21.2,6',175,USC,Former WR with top flight speed in CF. Aggresive hitter with quality power. Still has room to grow into body.,,,,,,,,,,,,,,30,40,25,40,40,50,70,70,50,60,50,40,46.31,,2028,,USC,"$417,628"
173,Khadim Diaw,LF,21.8,6'1,215,Loyola Marymount,Aggresive hitter at the plate that still generates good in game power. `Possess intriguing corner OF/C versatility.,,,,,,,,,,,,,,30,45,35,50,50,50,45,40,35,40,55,35,44.75,,2028,,Loyola Marymount,"$485,272"
217,Jeffery Heard,RF,21.3,6'2,210,Oregon,Hot start to '24 showing a potential strong hit tool but cooled off quickly. Strong arm in RF.,,,,,,,,,,,,,,25,40,25,30,35,40,40,35,35,40,50,20,37.76,,2028,,Oregon,"$357,099"
203,Bryce Boettcher,CF,22.0,6'2,220,Oregon,LB on the football team with huge strength mixed with quality speed. Very raw hit tool wise.,,,,,,,,,,,,,,25,30,35,40,55,55,60,55,45,60,50,30,39.60,,2029,,Oregon,"$483,971"
182,Zach Ehrhard,CF,21.4,5'11,185,Oklahoma State,Plus athlete despite poor size with gap power. Good defensive actions that will keep him in CF.,,,,,,,,,,,,,,30,55,25,30,30,30,55,55,45,55,50,35,45.35,,2027,,Oklahoma State,"$290,835"
177,Cameron Leary,LF,22.3,6'1,205,Boston College,Great combo of raw pop and swing decisions. Defensively has poor tools. Good Senior sign potential.,,,,,,,,,,,,,,25,40,30,50,60,60,40,40,35,40,40,35,44.93,,2027,,Boston College,"$367,208"
186,Drew Woodcox,LF,23.0,6',205,Texas Tech,"Big senior season lifting his stock, despite age within the class. Raw power and plate discipline are the only quality tools.",,,,,,,,,,,,,,30,40,35,50,55,55,40,40,35,40,40,35,42.74,,2027,,Texas Tech,"$351,276"
207,Anson Aroz,LF,21.8,5'11,200,Oregon,Corner OF/1B/C versatility. Some raw power and K avoidance ability.,,,,,,,,,,,,,,25,45,30,35,35,40,40,35,30,45,35,30,38.68,,2028,,Oregon,"$235,483"
216,Justin Cassella,LF,23.0,6',205,Oregon,INF/OF verstaility with some fringe power.,,,,,,,,,,,,,,25,35,30,40,35,40,45,40,30,40,35,20,34.41,,2028,,Oregon,"$223,107"
179,Joseph Sullivan,LF,22.1,6',200,South Alabama,Ordinary athletic build but maximizes it with quality speed and showed out in the Combine with an impressive BP.,,,,,,,,,,,,,,25,40,30,50,50,50,50,50,30,40,40,35,44.02,,2027,,South Alabama,"$277,465"
59,Kellon Lindsey,CF,18.8,6',175,Florida,Top speed in the entire class but the quality of the offensive tools are still a bit of a question. Could still end up at either CF or SS.,,,,,,,,,,,,,,25,50,25,40,35,40,80,80,45,55,40,40,48.35,,2030,,Florida,"$1,531,905"
167,Casey Saucke III,RF,21.0,6'3,210,Virginia,Versatility on the corners that is carried through his strong arm despite poor speed. Only has pull side power mixed with ordinary hit tools.,,,,,,,,,,,,,,30,40,30,35,40,40,40,40,40,50,60,35,41.15,,2028,,Virginia,"$425,434"
